onset	duration	accuracy	trial_type	learning_stage	stimulus	response_port
11400.804	1.176	correct	learning	LS1	h38_p37_k_up_q3_right.jpg	98
11447.67	0.963	correct	learning	LS1	h55_p24_k_down_q4_left.jpg	98
11494.368	1.166	correct	learning	LS1	h27_p8_k_up_q1_left.jpg	98
11540.9	1.45	correct	learning	LS1	h55_p11_i_down_right.jpg	97
11587.765	1.093	correct	learning	LS1	h38_p25_i_up_left.jpg	97
11634.297	1.25	incorrect	learning	LS1	h54_p31_i_up_left.jpg	98
11680.996	1.501	incorrect	learning	LS1	h93_p27_k_down_q1_left.jpg	97
11727.861	0.857	correct	learning	LS1	h54_p3_k_up_q2_right.jpg	98
11774.56	1.412	incorrect	learning	LS1	h27_p10_i_up_left.jpg	98
11866.789	1.184	correct	learning	LS2	h27_p34_i_up_right.jpg	97
11913.655	1.258	correct	learning	LS2	h93_p48_i_down_left.jpg	97
11960.353	0.79	correct	learning	LS2	h54_p3_k_up_q2_right.jpg	98
12007.052	1.122	correct	learning	LS2	h38_p47_i_up_left.jpg	97
12053.751	1.069	correct	learning	LS2	h55_p24_k_down_q4_left.jpg	98
12100.282	1.72	correct	learning	LS2	h27_p8_k_up_q1_left.jpg	98
12147.148	0.869	correct	learning	LS2	h54_p47_i_up_left.jpg	97
12193.846	1.439	incorrect	learning	LS2	h93_p27_k_down_q1_left.jpg	97
12240.545	1.387	correct	learning	LS2	h55_p15_i_down_left.jpg	97
12287.244	1.271	correct	learning	LS2	h38_p37_k_up_q3_right.jpg	98
12378.973	1.668	incorrect	learning	LS3	h93_p35_i_down_left.jpg	98
12425.671	0.865	correct	learning	LS3	h54_p3_k_up_q2_right.jpg	98
12472.537	0.955	correct	learning	LS3	h55_p24_k_down_q4_left.jpg	98
12519.069	1.127	correct	learning	LS3	h38_p25_i_up_left.jpg	97
12565.6	1.171	correct	learning	LS3	h55_p11_i_down_right.jpg	97
12612.132	1.072	correct	learning	LS3	h27_p8_k_up_q1_left.jpg	98
12658.664	1.243	correct	learning	LS3	h38_p37_k_up_q3_right.jpg	98
12705.196	1.367	correct	learning	LS3	h93_p27_k_down_q1_left.jpg	98
12751.728	1.443	incorrect	learning	LS3	h27_p10_i_up_left.jpg	98
12798.259	1.279	correct	learning	LS3	h54_p31_i_up_left.jpg	97
12889.989	1.437	correct	learning	LS4	h93_p27_k_down_q1_left.jpg	98
12936.521	1.066	correct	learning	LS4	h27_p34_i_up_right.jpg	97
12983.219	1.206	correct	learning	LS4	h93_p48_i_down_left.jpg	97
13029.751	0.994	correct	learning	LS4	h38_p37_k_up_q3_right.jpg	98
