trial_index	trial_type	block_number	block_type	is_practice	kin_parse_failed	kin_n_samples	duration	path_length	max_velocity	mean_velocity	max_acceleration	mean_acceleration
179	go	6	go_only	0	0	38	0.610759	585.232871	2193.349970	958.206047	60535.057353	12499.436825
180	go	6	go_only	0	0	38	0.611356	625.062639	2874.484806	1022.420396	65620.205731	16821.128311
181	go	6	go_only	0	0	43	0.693931	595.610969	2299.751922	858.314647	140145.551926	15460.465680
182	go	6	go_only	0	0	42	0.676235	574.177701	2832.249322	849.080380	67669.038620	13904.899800
183	go	6	go_only	0	0	36	0.577625	592.897697	4542.068640	1026.441394	118928.903955	18494.309642
184	go	6	go_only	0	0	39	0.628465	638.114049	2659.499315	1015.353682	65775.050387	16325.485095
185	go	6	go_only	0	0	38	0.611866	582.888286	3445.763044	952.639958	80699.439663	15930.865681
186	go	6	go_only	0	0	38	0.610658	644.112585	2992.043098	1054.783796	67661.941967	14229.886227
187	go	6	go_only	0	0	42	0.679484	565.342694	3250.509011	832.018282	167477.473375	14821.407773
188	go	6	go_only	0	0	40	0.644984	577.198050	2924.538288	894.903035	63858.538417	13814.084265
189	go	6	go_only	0	0	36	0.578529	631.272623	3049.620919	1091.169445	77418.032089	13972.912955
190	go	6	go_only	0	0	37	0.591432	591.906318	2522.286912	1000.802659	80334.954442	15249.447827
191	go	6	go_only	0	0	48	0.778340	644.871327	2831.889460	828.521695	66502.577378	13442.775241
192	go	6	go_only	0	0	32	0.510804	604.608577	3012.681774	1183.641271	96987.725960	21437.669696
193	nogo	7	go_nogo	0	0	41	0.659009	565.188943	4684.897078	857.634635	187173.935844	27180.289146
194	go	7	go_nogo	0	0	30	0.476978	602.047560	4620.252393	1262.213224	119725.480255	23150.060063
195	go	7	go_nogo	0	0	30	0.477353	617.960312	3747.752215	1294.557339	157975.011506	26390.836228
196	go	7	go_nogo	0	0	36	0.576745	592.001876	2525.625812	1026.454306	99479.934968	19059.466128
197	go	7	go_nogo	0	0	45	0.727481	605.014737	3101.609270	831.656869	74815.637562	11299.626620
198	go	7	go_nogo	0	0	40	0.642764	575.080809	1955.259903	894.700336	91655.076364	11128.375251
199	go	7	go_nogo	0	0	38	0.609711	592.704985	2351.884281	972.108073	124152.435998	15586.132104
200	nogo	7	go_nogo	0	0	37	0.593928	531.581169	2562.503620	895.025679	93053.813049	10909.389242
201	go	7	go_nogo	0	0	39	0.627956	606.496006	2753.503286	965.826409	59993.516022	13175.667454
202	go	7	go_nogo	0	0	39	0.627666	623.529149	2373.567828	993.409153	48282.916289	11439.600515
203	go	7	go_nogo	0	0	39	0.628227	601.002481	2822.939282	956.664977	136380.734571	17682.463210
204	go	7	go_nogo	0	0	39	0.625601	593.291820	2401.930790	948.354822	67378.413124	12364.906896
205	go	7	go_nogo	0	0	45	0.727237	560.958234	1743.673066	771.355571	41851.520228	10519.511876
206	go	7	go_nogo	0	0	51	0.826449	570.742593	2962.628365	690.596432	119953.192810	14983.684514
207	go	7	go_nogo	0	0	39	0.627975	606.643563	2188.874758	966.032007	94997.172585	12432.220093
