onset	duration	accuracy	trial_type	learning_stage	stimulus	coherence	signal_detection_theory
2807.982	6.759	correct	control	LS4	PICTURE_552.jpg	i	correct rejection
2814.741	7.792	correct	control	LS4	PICTURE_663.jpg	i	correct rejection
2822.533	7.867	correct	control	LS4	PICTURE_388.jpg	c	hit
2830.400	7.781	correct	control	LS4	PICTURE_476.jpg	c	hit
2838.181	6.735	correct	control	LS4	PICTURE_314.jpg	c	hit
2844.916	7.770	correct	control	LS4	PICTURE_476.jpg	i	correct rejection
2852.686	7.684	correct	control	LS4	PICTURE_388.jpg	i	correct rejection
2860.370	6.645	correct	control	LS4	PICTURE_663.jpg	c	hit
2867.015	18.503	correct	learning	LS1	PICTURE_508.jpg	c	hit
2885.518	10.906	incorrect	learning	LS1	PICTURE_480.jpg	i	false alarm
2896.424	15.618	correct	learning	LS1	PICTURE_488.jpg	c	hit
2912.042	11.381	incorrect	learning	LS1	PICTURE_95.jpg	i	false alarm
2923.423	12.894	incorrect	learning	LS1	PICTURE_488.jpg	i	false alarm
2936.317	10.576	correct	learning	LS1	PICTURE_95.jpg	c	hit
2946.893	11.776	correct	learning	LS1	PICTURE_15.jpg	c	hit
2958.669	8.971	incorrect	learning	LS1	PICTURE_508.jpg	i	false alarm
2967.640	10.310	correct	learning	LS1	PICTURE_15.jpg	i	correct rejection
2977.950	14.049	correct	learning	LS1	PICTURE_480.jpg	c	hit
2991.999	8.126	correct	learning	LS2	PICTURE_508.jpg	i	correct rejection
3000.125	9.473	correct	learning	LS2	PICTURE_95.jpg	c	hit
3009.598	18.657	correct	learning	LS2	PICTURE_15.jpg	c	hit
3028.255	14.566	correct	learning	LS2	PICTURE_95.jpg	i	correct rejection
3042.821	8.401	incorrect	learning	LS2	PICTURE_488.jpg	i	false alarm
3051.222	9.434	correct	learning	LS2	PICTURE_508.jpg	c	hit
3060.656	9.187	correct	learning	LS2	PICTURE_480.jpg	i	correct rejection
3069.843	9.740	correct	learning	LS2	PICTURE_15.jpg	i	correct rejection
3079.583	n/a	n/a	learning	LS2	PICTURE_480.jpg	c	late
3104.583	14.846	correct	learning	LS2	PICTURE_488.jpg	c	hit
3119.429	8.630	correct	learning	LS3	PICTURE_15.jpg	i	correct rejection
3128.059	7.106	correct	learning	LS3	PICTURE_95.jpg	c	hit
3135.165	8.785	correct	learning	LS3	PICTURE_508.jpg	i	correct rejection
3143.950	8.706	correct	learning	LS3	PICTURE_480.jpg	i	correct rejection
3152.656	18.703	correct	learning	LS3	PICTURE_508.jpg	c	hit
3171.359	7.742	correct	learning	LS3	PICTURE_95.jpg	i	correct rejection
3179.101	9.262	correct	learning	LS3	PICTURE_15.jpg	c	hit
3188.363	12.374	correct	learning	LS3	PICTURE_488.jpg	i	correct rejection
3200.737	9.576	correct	learning	LS3	PICTURE_480.jpg	c	hit
3210.313	10.295	correct	learning	LS3	PICTURE_488.jpg	c	hit
3220.608	8.523	correct	learning	LS4	PICTURE_15.jpg	c	hit
3229.131	6.504	correct	learning	LS4	PICTURE_488.jpg	c	hit
3235.635	15.201	incorrect	learning	LS4	PICTURE_480.jpg	i	false alarm
3250.836	9.665	correct	learning	LS4	PICTURE_508.jpg	c	hit
3260.501	7.333	correct	learning	LS4	PICTURE_95.jpg	i	correct rejection
3267.834	7.400	correct	learning	LS4	PICTURE_508.jpg	i	correct rejection
3275.234	8.594	correct	learning	LS4	PICTURE_488.jpg	i	correct rejection
3283.828	7.069	correct	learning	LS4	PICTURE_95.jpg	c	hit
3290.897	7.623	correct	learning	LS4	PICTURE_15.jpg	i	correct rejection
3298.520	7.858	correct	learning	LS4	PICTURE_480.jpg	c	hit
