onset	duration	accuracy_binary	trial_type	learning_stage	stimulus	coherence
1756.586	8.919	1	learning	LS3	PICTURE_267.jpg	i
1765.505	9.588	1	learning	LS4	PICTURE_77.jpg	i
1775.093	7.518	1	learning	LS4	PICTURE_32.jpg	c
1782.611	9.124	1	learning	LS4	PICTURE_77.jpg	c
1791.735	7.531	1	learning	LS4	PICTURE_100.jpg	c
1799.266	9.775	1	learning	LS4	PICTURE_97.jpg	c
1809.041	8.188	1	learning	LS4	PICTURE_100.jpg	i
1817.229	10.593	1	learning	LS4	PICTURE_267.jpg	c
1827.822	8.681	1	learning	LS4	PICTURE_32.jpg	i
1836.503	9.004	1	learning	LS4	PICTURE_267.jpg	i
1845.507	7.889	1	learning	LS4	PICTURE_97.jpg	i
1853.396	12.033	0	learning	LS1	PICTURE_148.jpg	i
1865.429	6.285	1	learning	LS1	PICTURE_358.jpg	c
1871.714	11.084	0	learning	LS1	PICTURE_165.jpg	i
1882.798	7.095	0	learning	LS1	PICTURE_453.jpg	i
1889.893	10.611	1	learning	LS1	PICTURE_202.jpg	c
1900.504	8.860	1	learning	LS1	PICTURE_453.jpg	c
1909.364	8.706	1	learning	LS1	PICTURE_148.jpg	c
1918.070	9.187	1	learning	LS1	PICTURE_165.jpg	c
1927.257	11.430	1	learning	LS1	PICTURE_202.jpg	i
1938.687	10.160	1	learning	LS1	PICTURE_358.jpg	i
1948.847	9.230	1	learning	LS2	PICTURE_358.jpg	i
1958.077	9.555	1	learning	LS2	PICTURE_148.jpg	c
1967.632	7.483	1	learning	LS2	PICTURE_202.jpg	c
1975.115	9.409	1	learning	LS2	PICTURE_165.jpg	i
1984.524	7.817	1	learning	LS2	PICTURE_453.jpg	c
1992.341	10.861	1	learning	LS2	PICTURE_358.jpg	c
2003.202	8.791	1	learning	LS2	PICTURE_165.jpg	c
2011.993	9.117	1	learning	LS2	PICTURE_148.jpg	i
2021.110	8.004	1	learning	LS2	PICTURE_453.jpg	i
2029.114	8.651	1	learning	LS2	PICTURE_202.jpg	i
2037.765	8.682	1	learning	LS3	PICTURE_202.jpg	i
2046.447	9.007	1	learning	LS3	PICTURE_148.jpg	i
2055.454	9.016	1	learning	LS3	PICTURE_358.jpg	c
2064.470	7.744	1	learning	LS3	PICTURE_165.jpg	c
2072.214	8.232	1	learning	LS3	PICTURE_453.jpg	c
2080.446	8.238	1	learning	LS3	PICTURE_165.jpg	i
2088.684	9.202	1	learning	LS3	PICTURE_453.jpg	i
2097.886	9.211	1	learning	LS3	PICTURE_358.jpg	i
2107.097	9.540	1	learning	LS3	PICTURE_202.jpg	c
2116.637	8.428	1	learning	LS3	PICTURE_148.jpg	c
2125.065	n/a	n/a	learning	LS4	PICTURE_202.jpg	i
2150.065	9.275	1	learning	LS4	PICTURE_358.jpg	i
2159.340	7.369	1	learning	LS4	PICTURE_202.jpg	c
2166.709	7.694	1	learning	LS4	PICTURE_358.jpg	c
2174.403	8.657	1	learning	LS4	PICTURE_453.jpg	c
2183.060	8.186	1	learning	LS4	PICTURE_165.jpg	i
2191.246	8.033	1	learning	LS4	PICTURE_148.jpg	i
2199.279	8.840	1	learning	LS4	PICTURE_165.jpg	c
2208.119	7.726	1	learning	LS4	PICTURE_453.jpg	i
2215.845	8.533	1	learning	LS4	PICTURE_148.jpg	c
2224.378	9.324	1	control	LS1	PICTURE_116.jpg	c
2233.702	8.852	1	control	LS1	PICTURE_135.jpg	i
2242.554	8.857	1	control	LS1	PICTURE_540.jpg	i
2251.411	11.259	1	control	LS1	PICTURE_263.jpg	i
2262.670	8.070	1	control	LS1	PICTURE_491.jpg	c
2270.740	7.912	1	control	LS1	PICTURE_135.jpg	c
2278.652	7.440	1	control	LS1	PICTURE_540.jpg	c
2286.092	7.603	1	control	LS1	PICTURE_491.jpg	i
2293.695	8.726	1	control	LS1	PICTURE_116.jpg	i
2302.421	8.252	1	control	LS1	PICTURE_263.jpg	c
2310.673	10.044	1	control	LS2	PICTURE_135.jpg	i
2320.717	7.173	1	control	LS2	PICTURE_263.jpg	c
2327.890	7.019	1	control	LS2	PICTURE_116.jpg	c
2334.909	8.302	1	control	LS2	PICTURE_540.jpg	i
2343.211	9.106	1	control	LS2	PICTURE_263.jpg	i
2352.317	7.990	1	control	LS2	PICTURE_135.jpg	c
2360.307	8.478	1	control	LS2	PICTURE_491.jpg	i
2368.785	8.485	1	control	LS2	PICTURE_116.jpg	i
2377.270	7.372	1	control	LS2	PICTURE_491.jpg	c
2384.642	7.858	1	control	LS2	PICTURE_540.jpg	c
2392.500	9.808	1	control	LS3	PICTURE_119.jpg	i
2402.308	9.971	1	control	LS3	PICTURE_111.jpg	i
2412.279	8.218	1	control	LS3	PICTURE_621.jpg	c
2420.497	7.905	1	control	LS3	PICTURE_151.jpg	c
2428.402	12.538	1	control	LS3	PICTURE_234.jpg	c
2440.940	10.786	1	control	LS3	PICTURE_621.jpg	i
2451.726	8.711	1	control	LS3	PICTURE_111.jpg	c
2460.437	8.083	1	control	LS3	PICTURE_119.jpg	c
2468.520	9.204	1	control	LS3	PICTURE_151.jpg	i
2477.724	8.249	1	control	LS3	PICTURE_234.jpg	i
2485.973	15.955	1	control	LS4	PICTURE_234.jpg	c
2501.928	7.172	1	control	LS4	PICTURE_119.jpg	c
2509.100	9.417	1	control	LS4	PICTURE_151.jpg	i
2518.517	8.306	1	control	LS4	PICTURE_111.jpg	i
2526.823	9.112	1	control	LS4	PICTURE_621.jpg	i
2535.935	11.196	1	control	LS4	PICTURE_111.jpg	c
2547.131	8.965	1	control	LS4	PICTURE_119.jpg	i
2556.096	7.213	1	control	LS4	PICTURE_621.jpg	c
2563.309	10.894	1	control	LS4	PICTURE_151.jpg	c
2574.203	7.865	1	control	LS4	PICTURE_234.jpg	i
2582.068	11.574	1	learning	LS1	PICTURE_26.jpg	c
2593.642	9.013	0	learning	LS1	PICTURE_659.jpg	i
2602.655	8.369	1	learning	LS1	PICTURE_212.jpg	c
2611.024	13.333	1	learning	LS1	PICTURE_26.jpg	i
2624.357	9.985	0	learning	LS1	PICTURE_38.jpg	i
2634.342	8.545	1	learning	LS1	PICTURE_654.jpg	c
2642.887	11.905	1	learning	LS1	PICTURE_212.jpg	i
2654.792	7.274	1	learning	LS1	PICTURE_38.jpg	c
2662.066	8.396	1	learning	LS1	PICTURE_659.jpg	c
2670.462	10.798	1	learning	LS1	PICTURE_654.jpg	i
2681.260	7.792	1	learning	LS2	PICTURE_654.jpg	c
2689.052	7.481	1	learning	LS2	PICTURE_659.jpg	i
2696.533	8.124	1	learning	LS2	PICTURE_38.jpg	c
2704.657	8.452	1	learning	LS2	PICTURE_654.jpg	i
2713.109	10.371	1	learning	LS2	PICTURE_212.jpg	c
2723.480	10.698	1	learning	LS2	PICTURE_26.jpg	i
2734.178	9.745	1	learning	LS2	PICTURE_659.jpg	c
2743.923	8.473	1	learning	LS2	PICTURE_38.jpg	i
2752.396	11.993	1	learning	LS2	PICTURE_26.jpg	c
2764.389	8.964	1	learning	LS2	PICTURE_212.jpg	i
2773.353	9.314	1	learning	LS3	PICTURE_26.jpg	i
2782.667	6.923	1	learning	LS3	PICTURE_38.jpg	c
2789.590	7.249	1	learning	LS3	PICTURE_212.jpg	c
2796.839	8.056	0	learning	LS3	PICTURE_26.jpg	c
2804.895	8.224	1	learning	LS3	PICTURE_654.jpg	c
2813.119	9.826	1	learning	LS3	PICTURE_659.jpg	c
2822.945	8.713	1	learning	LS3	PICTURE_38.jpg	i
2831.658	8.398	1	learning	LS3	PICTURE_654.jpg	i
2840.056	9.523	1	learning	LS3	PICTURE_659.jpg	i
2849.579	8.088	1	learning	LS3	PICTURE_212.jpg	i
2857.667	10.038	1	learning	LS4	PICTURE_659.jpg	c
2867.705	8.125	1	learning	LS4	PICTURE_38.jpg	i
2875.830	10.849	1	learning	LS4	PICTURE_654.jpg	i
2886.679	9.260	1	learning	LS4	PICTURE_212.jpg	c
2895.939	7.988	1	learning	LS4	PICTURE_26.jpg	c
2903.927	7.672	1	learning	LS4	PICTURE_38.jpg	c
2911.599	8.157	1	learning	LS4	PICTURE_659.jpg	i
2919.756	8.321	1	learning	LS4	PICTURE_654.jpg	c
2928.077	8.485	1	learning	LS4	PICTURE_212.jpg	i
2936.562	8.973	1	learning	LS4	PICTURE_26.jpg	i
