onset	duration	response_time_ms	trial_type	learning_stage	stimulus	coherence	response_port
1784.858	8.193	8193.0	learning	LS4	PICTURE_71.jpg	i	n/a
1793.051	7.724	7724.0	learning	LS4	PICTURE_74.jpg	c	n/a
1800.775	9.009	9009.0	learning	LS4	PICTURE_71.jpg	c	n/a
1809.784	8.860	8860.0	learning	LS4	PICTURE_72.jpg	i	n/a
1818.644	12.223	12223.0	learning	LS4	PICTURE_74.jpg	i	n/a
1830.867	5.522	5522.0	learning	LS4	PICTURE_68.jpg	c	n/a
1836.389	6.649	6649.0	learning	LS4	PICTURE_72.jpg	c	n/a
1843.038	9.706	9706.0	learning	LS1	PICTURE_203.jpg	i	n/a
1852.744	7.797	7797.0	learning	LS1	PICTURE_42.jpg	i	n/a
1860.541	7.966	7966.0	learning	LS1	PICTURE_414.jpg	c	n/a
1868.507	8.928	8928.0	learning	LS1	PICTURE_224.jpg	c	n/a
1877.435	10.691	10691.0	learning	LS1	PICTURE_566.jpg	c	n/a
1888.126	9.899	9899.0	learning	LS1	PICTURE_42.jpg	c	n/a
1898.025	12.471	12471.0	learning	LS1	PICTURE_224.jpg	i	n/a
1910.496	11.838	11838.0	learning	LS1	PICTURE_414.jpg	i	n/a
1922.334	10.252	10252.0	learning	LS1	PICTURE_566.jpg	i	n/a
1932.586	8.345	8345.0	learning	LS1	PICTURE_203.jpg	c	n/a
1940.931	10.784	10784.0	learning	LS2	PICTURE_566.jpg	i	n/a
1951.715	9.674	9674.0	learning	LS2	PICTURE_414.jpg	c	n/a
1961.389	6.646	6646.0	learning	LS2	PICTURE_42.jpg	c	n/a
1968.035	10.814	10814.0	learning	LS2	PICTURE_203.jpg	i	n/a
1978.849	11.780	11780.0	learning	LS2	PICTURE_414.jpg	i	n/a
1990.629	9.234	9234.0	learning	LS2	PICTURE_224.jpg	i	n/a
1999.863	8.130	8130.0	learning	LS2	PICTURE_566.jpg	c	n/a
2007.993	7.498	7498.0	learning	LS2	PICTURE_42.jpg	i	n/a
2015.491	7.027	7027.0	learning	LS2	PICTURE_203.jpg	c	n/a
2022.518	6.559	6559.0	learning	LS2	PICTURE_224.jpg	c	n/a
2029.077	6.917	6917.0	learning	LS3	PICTURE_42.jpg	c	n/a
2035.994	9.005	9005.0	learning	LS3	PICTURE_203.jpg	i	n/a
2044.999	8.854	8854.0	learning	LS3	PICTURE_566.jpg	i	n/a
2053.853	6.787	6787.0	learning	LS3	PICTURE_414.jpg	i	n/a
2060.640	6.317	6317.0	learning	LS3	PICTURE_224.jpg	c	n/a
2066.957	8.406	8406.0	learning	LS3	PICTURE_203.jpg	c	n/a
2075.363	10.010	10010.0	learning	LS3	PICTURE_42.jpg	i	n/a
2085.373	7.302	7302.0	learning	LS3	PICTURE_224.jpg	i	n/a
2092.675	8.590	8590.0	learning	LS3	PICTURE_566.jpg	c	n/a
2101.265	7.482	7482.0	learning	LS3	PICTURE_414.jpg	c	n/a
2108.747	7.200	7200.0	learning	LS4	PICTURE_566.jpg	c	n/a
2115.947	6.730	6730.0	learning	LS4	PICTURE_203.jpg	c	n/a
2122.677	8.018	8018.0	learning	LS4	PICTURE_42.jpg	i	n/a
2130.695	6.749	6749.0	learning	LS4	PICTURE_224.jpg	i	n/a
2137.444	7.719	7719.0	learning	LS4	PICTURE_42.jpg	c	n/a
