trial_index	trial_type	block_number	block_type	is_practice	n_left_clicks	go_first_left_inside	go_first_left_rt	parse_failed_time	parse_failed_xy	parse_failed_buttons	mismatched_lengths	any_rb_nonzero	any_mb_nonzero	any_click	any_left	any_right	nogo_stop_time	nogo_stopped	nogo_outcome	nogo_parse_failed	rt_combined	accuracy
138	go	5	go_nogo	0	1	1	0.658653	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.658653	1
139	go	5	go_nogo	0	1	1	0.676710	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.676710	1
140	go	5	go_nogo	0	1	1	0.643971	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.643971	1
141	go	5	go_nogo	0	1	1	0.727875	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.727875	1
142	go	5	go_nogo	0	1	1	0.593433	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.593433	1
143	go	5	go_nogo	0	1	1	0.728323	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.728323	1
144	nogo	5	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.410526	1	stopped_early	0	0.410526	1
145	go	5	go_nogo	0	1	1	0.677706	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.677706	1
146	go	5	go_nogo	0	1	1	0.975557	0	0	0	0	0	0	1	1	0	0.525383	1	stopped_early	0	0.975557	1
147	go	5	go_nogo	0	1	1	0.758204	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.758204	1
148	nogo	5	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.410037	1	stopped_early	0	0.410037	1
149	go	5	go_nogo	0	1	1	0.659740	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.659740	1
150	nogo	5	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.424865	1	stopped_early	0	0.424865	1
151	go	5	go_nogo	0	1	1	0.876205	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.876205	1
152	go	5	go_nogo	0	1	1	0.595888	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.595888	1
153	go	5	go_nogo	0	1	1	0.627116	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.627116	1
154	go	5	go_nogo	0	1	1	0.810275	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.810275	1
155	nogo	5	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.327357	1	stopped_early	0	0.327357	1
156	go	5	go_nogo	0	1	1	0.808718	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.808718	1
157	go	5	go_nogo	0	1	1	0.741639	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.741639	1
158	go	5	go_nogo	0	1	1	0.660024	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.660024	1
159	go	5	go_nogo	0	1	1	0.860260	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.860260	1
160	go	5	go_nogo	0	1	1	0.627199	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.627199	1
161	go	5	go_nogo	0	1	1	0.793032	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.793032	1
162	go	5	go_nogo	0	1	1	0.827145	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.827145	1
163	go	5	go_nogo	0	1	1	0.726655	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.726655	1
164	nogo	5	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.444218	1	stopped_early	0	0.444218	1
165	go	5	go_nogo	0	1	1	0.541593	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.541593	1
166	go	5	go_nogo	0	1	1	0.710828	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.710828	1
167	go	5	go_nogo	0	1	1	0.644239	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.644239	1
168	go	5	go_nogo	0	1	1	0.612820	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.612820	1
169	nogo	5	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.694736	1	stopped_early	0	0.694736	1
170	go	5	go_nogo	0	1	1	0.744956	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.744956	1
171	go	5	go_nogo	0	1	1	0.727934	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.727934	1
172	nogo	5	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.409791	1	stopped_early	0	0.409791	1
173	go	5	go_nogo	0	1	1	0.659914	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.659914	1
174	go	5	go_nogo	0	1	1	0.613069	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.613069	1
175	go	6	go_only	0	1	1	0.641098	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.641098	1
176	go	6	go_only	0	1	1	0.543136	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.543136	1
177	go	6	go_only	0	1	1	0.661323	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.661323	1
178	go	6	go_only	0	1	1	0.626682	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.626682	1
179	go	6	go_only	0	1	1	0.743379	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.743379	1
180	go	6	go_only	0	1	1	0.661283	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.661283	1
181	go	6	go_only	0	1	1	0.608925	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.608925	1
182	go	6	go_only	0	1	1	0.609513	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.609513	1
183	go	6	go_only	0	1	1	0.643040	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.643040	1
184	go	6	go_only	0	1	1	0.626950	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.626950	1
185	go	6	go_only	0	1	1	0.578650	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.578650	1
186	go	6	go_only	0	1	1	0.626257	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.626257	1
187	go	6	go_only	0	1	1	0.628272	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.628272	1
188	go	6	go_only	0	1	1	0.661180	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.661180	1
189	go	6	go_only	0	1	1	0.793277	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.793277	1
190	go	6	go_only	0	1	1	0.692914	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.692914	1
191	go	6	go_only	0	1	1	0.729843	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.729843	1
192	go	6	go_only	0	1	1	0.659835	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.659835	1
193	nogo	7	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.592719	1	stopped_near_deadline	0	0.592719	1
194	go	7	go_nogo	0	1	1	0.709639	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.709639	1
195	go	7	go_nogo	0	1	1	0.660616	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.660616	1
196	go	7	go_nogo	0	1	1	0.628142	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.628142	1
197	nogo	7	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.494714	1	stopped_early	0	0.494714	1
198	go	7	go_nogo	0	1	1	0.628212	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.628212	1
199	go	7	go_nogo	0	1	1	0.566258	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.566258	1
