onset	duration	accuracy	trial_type	learning_stage	stimulus	coherence	signal_detection_theory
2186.236	13.232	correct	learning	LS2	PICTURE_576.jpg	i	correct rejection
2199.468	8.763	correct	learning	LS2	PICTURE_605.jpg	i	correct rejection
2208.231	14.362	correct	learning	LS2	PICTURE_581.jpg	i	correct rejection
2222.593	9.574	correct	learning	LS2	PICTURE_576.jpg	c	hit
2232.167	10.699	correct	learning	LS2	PICTURE_52.jpg	i	correct rejection
2242.866	9.905	incorrect	learning	LS2	PICTURE_594.jpg	i	false alarm
2252.771	9.749	correct	learning	LS2	PICTURE_605.jpg	c	hit
2262.520	10.235	correct	learning	LS2	PICTURE_594.jpg	c	hit
2272.755	9.926	correct	learning	LS2	PICTURE_581.jpg	c	hit
2282.681	9.617	correct	learning	LS2	PICTURE_52.jpg	c	hit
2292.298	8.210	correct	learning	LS3	PICTURE_605.jpg	c	hit
2300.508	8.221	correct	learning	LS3	PICTURE_576.jpg	c	hit
2308.729	10.301	correct	learning	LS3	PICTURE_594.jpg	c	hit
2319.030	7.749	correct	learning	LS3	PICTURE_52.jpg	c	hit
2326.779	9.035	correct	learning	LS3	PICTURE_581.jpg	c	hit
2335.814	9.203	correct	learning	LS3	PICTURE_576.jpg	i	correct rejection
2345.017	9.848	correct	learning	LS3	PICTURE_605.jpg	i	correct rejection
2354.865	8.095	correct	learning	LS3	PICTURE_52.jpg	i	correct rejection
2362.960	8.900	correct	learning	LS3	PICTURE_594.jpg	i	correct rejection
2371.860	9.065	correct	learning	LS3	PICTURE_581.jpg	i	correct rejection
2380.925	9.103	correct	learning	LS4	PICTURE_594.jpg	i	correct rejection
2390.028	7.193	correct	learning	LS4	PICTURE_605.jpg	i	correct rejection
2397.221	9.916	correct	learning	LS4	PICTURE_576.jpg	c	hit
2407.137	10.240	correct	learning	LS4	PICTURE_605.jpg	c	hit
2417.377	7.847	correct	learning	LS4	PICTURE_581.jpg	i	correct rejection
2425.224	8.174	correct	learning	LS4	PICTURE_576.jpg	i	correct rejection
2433.398	9.780	correct	learning	LS4	PICTURE_52.jpg	c	hit
2443.178	8.189	correct	learning	LS4	PICTURE_581.jpg	c	hit
2451.367	9.477	correct	learning	LS4	PICTURE_52.jpg	i	correct rejection
2460.844	11.881	correct	learning	LS4	PICTURE_594.jpg	c	hit
2472.725	13.962	correct	control	LS1	PICTURE_430.jpg	i	correct rejection
2486.687	10.612	correct	control	LS1	PICTURE_286.jpg	c	hit
2497.299	9.819	correct	control	LS1	PICTURE_2.jpg	i	correct rejection
2507.118	10.302	correct	control	LS1	PICTURE_718.jpg	c	hit
2517.420	9.990	correct	control	LS1	PICTURE_430.jpg	c	hit
2527.410	9.675	correct	control	LS1	PICTURE_718.jpg	i	correct rejection
2537.085	8.086	correct	control	LS1	PICTURE_286.jpg	i	correct rejection
2545.171	9.214	correct	control	LS1	PICTURE_292.jpg	c	hit
2554.385	11.298	correct	control	LS1	PICTURE_2.jpg	c	hit
2565.683	11.786	correct	control	LS1	PICTURE_292.jpg	i	correct rejection
2577.469	7.989	correct	control	LS2	PICTURE_2.jpg	c	hit
2585.458	11.673	correct	control	LS2	PICTURE_292.jpg	i	correct rejection
2597.131	10.399	correct	control	LS2	PICTURE_430.jpg	i	correct rejection
2607.530	7.050	correct	control	LS2	PICTURE_292.jpg	c	hit
2614.580	8.498	correct	control	LS2	PICTURE_286.jpg	i	correct rejection
2623.078	12.181	correct	control	LS2	PICTURE_718.jpg	c	hit
2635.259	13.308	correct	control	LS2	PICTURE_2.jpg	i	correct rejection
2648.567	9.158	correct	control	LS2	PICTURE_430.jpg	c	hit
2657.725	9.165	correct	control	LS2	PICTURE_286.jpg	c	hit
2666.890	16.365	correct	control	LS2	PICTURE_718.jpg	i	correct rejection
2683.255	10.486	correct	control	LS3	PICTURE_98.jpg	i	correct rejection
2693.741	7.616	correct	control	LS3	PICTURE_645.jpg	c	hit
2701.357	10.822	correct	control	LS3	PICTURE_98.jpg	c	hit
2712.179	7.791	correct	control	LS3	PICTURE_733.jpg	c	hit
2719.970	7.801	correct	control	LS3	PICTURE_134.jpg	c	hit
2727.771	8.769	correct	control	LS3	PICTURE_733.jpg	i	correct rejection
2736.540	10.217	correct	control	LS3	PICTURE_645.jpg	i	correct rejection
