onset	duration	response_time_ms	trial_type	learning_stage	stimulus	coherence	response_port
1639.879	9.232	9232.0	learning	LS2	PICTURE_297.jpg	i	n/a
1649.111	7.958	7958.0	learning	LS2	PICTURE_720.jpg	c	n/a
1657.069	7.804	7804.0	learning	LS2	PICTURE_746.jpg	i	n/a
1664.873	8.290	8290.0	learning	LS2	PICTURE_235.jpg	i	n/a
1673.163	8.617	8617.0	learning	LS2	PICTURE_23.jpg	i	n/a
1681.780	7.211	7211.0	learning	LS3	PICTURE_235.jpg	c	n/a
1688.991	6.902	6902.0	learning	LS3	PICTURE_746.jpg	c	n/a
1695.893	7.711	7711.0	learning	LS3	PICTURE_297.jpg	c	n/a
1703.604	6.921	6921.0	learning	LS3	PICTURE_746.jpg	i	n/a
1710.525	7.887	7887.0	learning	LS3	PICTURE_720.jpg	i	n/a
1718.412	7.417	7417.0	learning	LS3	PICTURE_23.jpg	i	n/a
1725.829	8.383	8383.0	learning	LS3	PICTURE_297.jpg	i	n/a
1734.212	8.550	8550.0	learning	LS3	PICTURE_720.jpg	c	n/a
1742.762	8.396	8396.0	learning	LS3	PICTURE_235.jpg	i	n/a
1751.158	9.041	9041.0	learning	LS3	PICTURE_23.jpg	c	n/a
1760.199	6.840	6840.0	learning	LS4	PICTURE_746.jpg	c	n/a
1767.039	7.805	7805.0	learning	LS4	PICTURE_23.jpg	i	n/a
1774.844	8.768	8768.0	learning	LS4	PICTURE_720.jpg	c	n/a
1783.612	8.297	8297.0	learning	LS4	PICTURE_297.jpg	i	n/a
1791.909	10.221	10221.0	learning	LS4	PICTURE_720.jpg	i	n/a
1802.130	7.194	7194.0	learning	LS4	PICTURE_23.jpg	c	n/a
1809.324	7.524	7524.0	learning	LS4	PICTURE_746.jpg	i	n/a
1816.848	7.693	7693.0	learning	LS4	PICTURE_235.jpg	i	n/a
1824.541	7.700	7700.0	learning	LS4	PICTURE_297.jpg	c	n/a
1832.241	6.910	6910.0	learning	LS4	PICTURE_235.jpg	c	n/a
1839.151	9.625	9625.0	control	LS1	PICTURE_485.jpg	i	n/a
1848.776	11.389	11389.0	control	LS1	PICTURE_549.jpg	i	n/a
1860.165	7.716	7716.0	control	LS1	PICTURE_485.jpg	c	n/a
1867.881	8.361	8361.0	control	LS1	PICTURE_350.jpg	i	n/a
1876.242	8.047	8047.0	control	LS1	PICTURE_498.jpg	i	n/a
1884.289	8.057	8057.0	control	LS1	PICTURE_549.jpg	c	n/a
1892.346	8.385	8385.0	control	LS1	PICTURE_418.jpg	c	n/a
1900.731	8.553	8553.0	control	LS1	PICTURE_350.jpg	c	n/a
1909.284	8.081	8081.0	control	LS1	PICTURE_418.jpg	i	n/a
1917.365	7.291	7291.0	control	LS1	PICTURE_498.jpg	c	n/a
1924.656	10.209	10209.0	control	LS2	PICTURE_498.jpg	i	n/a
1934.865	8.778	8778.0	control	LS2	PICTURE_418.jpg	c	n/a
1943.643	8.150	8150.0	control	LS2	PICTURE_549.jpg	c	n/a
1951.793	8.160	8160.0	control	LS2	PICTURE_350.jpg	i	n/a
1959.953	7.370	7370.0	control	LS2	PICTURE_418.jpg	i	n/a
1967.323	8.333	8333.0	control	LS2	PICTURE_485.jpg	i	n/a
1975.656	7.702	7702.0	control	LS2	PICTURE_350.jpg	c	n/a
1983.358	9.470	9470.0	control	LS2	PICTURE_485.jpg	c	n/a
1992.828	7.719	7719.0	control	LS2	PICTURE_549.jpg	i	n/a
2000.547	7.567	7567.0	control	LS2	PICTURE_498.jpg	c	n/a
2008.114	13.359	13359.0	control	LS3	PICTURE_663.jpg	i	n/a
2021.473	9.376	9376.0	control	LS3	PICTURE_314.jpg	i	n/a
2030.849	9.063	9063.0	control	LS3	PICTURE_663.jpg	c	n/a
2039.912	8.591	8591.0	control	LS3	PICTURE_552.jpg	c	n/a
2048.503	8.921	8921.0	control	LS3	PICTURE_388.jpg	i	n/a
2057.424	7.489	7489.0	control	LS3	PICTURE_314.jpg	c	n/a
2064.913	9.095	9095.0	control	LS3	PICTURE_476.jpg	c	n/a
2074.008	8.144	8144.0	control	LS3	PICTURE_552.jpg	i	n/a
2082.152	8.949	8949.0	control	LS3	PICTURE_388.jpg	c	n/a
2091.101	8.478	8478.0	control	LS3	PICTURE_476.jpg	i	n/a
2099.579	9.632	9632.0	control	LS4	PICTURE_552.jpg	i	n/a
2109.211	7.079	7079.0	control	LS4	PICTURE_663.jpg	i	n/a
2116.290	8.367	8367.0	control	LS4	PICTURE_388.jpg	c	n/a
2124.657	9.175	9175.0	control	LS4	PICTURE_476.jpg	c	n/a
2133.832	8.387	8387.0	control	LS4	PICTURE_314.jpg	i	n/a
2142.219	8.395	8395.0	control	LS4	PICTURE_663.jpg	c	n/a
2150.614	7.764	7764.0	control	LS4	PICTURE_552.jpg	c	n/a
2158.378	8.571	8571.0	control	LS4	PICTURE_388.jpg	i	n/a
2166.949	8.099	8099.0	control	LS4	PICTURE_476.jpg	i	n/a
2175.048	7.152	7152.0	control	LS4	PICTURE_314.jpg	c	n/a
2182.200	7.958	7958.0	learning	LS1	PICTURE_581.jpg	c	n/a
2190.158	8.763	8763.0	learning	LS1	PICTURE_576.jpg	i	n/a
2198.921	10.528	10528.0	learning	LS1	PICTURE_581.jpg	i	n/a
2209.449	14.055	14055.0	learning	LS1	PICTURE_605.jpg	i	n/a
2223.504	10.227	10227.0	learning	LS1	PICTURE_52.jpg	i	n/a
2233.731	11.829	11829.0	learning	LS1	PICTURE_594.jpg	c	n/a
2245.560	12.158	12158.0	learning	LS1	PICTURE_576.jpg	c	n/a
2257.718	8.807	8807.0	learning	LS1	PICTURE_605.jpg	c	n/a
2266.525	7.855	7855.0	learning	LS1	PICTURE_52.jpg	c	n/a
2274.380	11.061	11061.0	learning	LS1	PICTURE_594.jpg	i	n/a
2285.441	9.185	9185.0	learning	LS2	PICTURE_576.jpg	i	n/a
2294.626	10.471	10471.0	learning	LS2	PICTURE_52.jpg	i	n/a
2305.097	7.918	7918.0	learning	LS2	PICTURE_581.jpg	c	n/a
2313.015	7.130	7130.0	learning	LS2	PICTURE_605.jpg	c	n/a
2320.145	12.573	12573.0	learning	LS2	PICTURE_594.jpg	c	n/a
2332.718	7.786	7786.0	learning	LS2	PICTURE_576.jpg	c	n/a
2340.504	8.432	8432.0	learning	LS2	PICTURE_605.jpg	i	n/a
2348.936	8.444	8444.0	learning	LS2	PICTURE_581.jpg	i	n/a
2357.380	7.812	7812.0	learning	LS2	PICTURE_52.jpg	c	n/a
2365.192	9.418	9418.0	learning	LS2	PICTURE_594.jpg	i	n/a
2374.610	7.378	7378.0	learning	LS3	PICTURE_52.jpg	c	n/a
2381.988	9.784	9784.0	learning	LS3	PICTURE_594.jpg	i	n/a
2391.772	8.033	8033.0	learning	LS3	PICTURE_581.jpg	i	n/a
2399.805	7.403	7403.0	learning	LS3	PICTURE_576.jpg	c	n/a
2407.208	7.729	7729.0	learning	LS3	PICTURE_52.jpg	i	n/a
2414.937	6.778	6778.0	learning	LS3	PICTURE_581.jpg	c	n/a
2421.715	n/a	n/a	learning	LS3	PICTURE_605.jpg	c	n/a
2446.715	8.398	8398.0	learning	LS3	PICTURE_594.jpg	c	n/a
2455.113	9.848	9848.0	learning	LS3	PICTURE_576.jpg	i	n/a
2464.961	7.780	7780.0	learning	LS3	PICTURE_605.jpg	i	n/a
2472.741	8.137	8137.0	learning	LS4	PICTURE_605.jpg	i	n/a
2480.878	7.504	7504.0	learning	LS4	PICTURE_581.jpg	i	n/a
2488.382	7.035	7035.0	learning	LS4	PICTURE_52.jpg	c	n/a
2495.417	6.719	6719.0	learning	LS4	PICTURE_581.jpg	c	n/a
2502.136	8.166	8166.0	learning	LS4	PICTURE_594.jpg	i	n/a
2510.302	7.855	7855.0	learning	LS4	PICTURE_576.jpg	c	n/a
2518.157	7.701	7701.0	learning	LS4	PICTURE_52.jpg	i	n/a
2525.858	6.750	6750.0	learning	LS4	PICTURE_594.jpg	c	n/a
2532.608	7.078	7078.0	learning	LS4	PICTURE_605.jpg	c	n/a
2539.686	7.408	7408.0	learning	LS4	PICTURE_576.jpg	i	n/a
2547.094	11.753	11753.0	learning	LS1	PICTURE_216.jpg	i	n/a
2558.847	9.206	9206.0	learning	LS1	PICTURE_695.jpg	i	n/a
2568.053	9.215	9215.0	learning	LS1	PICTURE_53.jpg	i	n/a
2577.268	11.779	11779.0	learning	LS1	PICTURE_216.jpg	c	n/a
2589.047	9.550	9550.0	learning	LS1	PICTURE_695.jpg	c	n/a
2598.597	11.474	11474.0	learning	LS1	PICTURE_220.jpg	i	n/a
2610.071	11.005	11005.0	learning	LS1	PICTURE_703.jpg	i	n/a
2621.076	9.416	9416.0	learning	LS1	PICTURE_220.jpg	c	n/a
2630.492	9.103	9103.0	learning	LS1	PICTURE_53.jpg	c	n/a
2639.595	9.113	9113.0	learning	LS1	PICTURE_703.jpg	c	n/a
2648.708	7.393	7393.0	learning	LS2	PICTURE_695.jpg	c	n/a
2656.101	12.034	12034.0	learning	LS2	PICTURE_703.jpg	i	n/a
2668.135	7.887	7887.0	learning	LS2	PICTURE_53.jpg	i	n/a
2676.022	11.410	11410.0	learning	LS2	PICTURE_220.jpg	i	n/a
2687.432	12.220	12220.0	learning	LS2	PICTURE_216.jpg	c	n/a
2699.652	8.553	8553.0	learning	LS2	PICTURE_220.jpg	c	n/a
2708.205	8.238	8238.0	learning	LS2	PICTURE_216.jpg	i	n/a
2716.443	7.924	7924.0	learning	LS2	PICTURE_695.jpg	i	n/a
2724.367	7.458	7458.0	learning	LS2	PICTURE_703.jpg	c	n/a
2731.825	6.825	6825.0	learning	LS2	PICTURE_53.jpg	c	n/a
2738.650	7.657	7657.0	learning	LS3	PICTURE_216.jpg	c	n/a
2746.307	6.067	6067.0	learning	LS3	PICTURE_695.jpg	c	n/a
2752.374	8.152	8152.0	learning	LS3	PICTURE_703.jpg	i	n/a
2760.526	6.405	6405.0	learning	LS3	PICTURE_220.jpg	i	n/a
2766.931	6.736	6736.0	learning	LS3	PICTURE_53.jpg	c	n/a
2773.667	7.541	7541.0	learning	LS3	PICTURE_216.jpg	i	n/a
2781.208	6.909	6909.0	learning	LS3	PICTURE_220.jpg	c	n/a
2788.117	8.835	8835.0	learning	LS3	PICTURE_53.jpg	i	n/a
2796.952	7.405	7405.0	learning	LS3	PICTURE_703.jpg	c	n/a
2804.357	7.572	7572.0	learning	LS3	PICTURE_695.jpg	i	n/a
2811.929	7.452	7452.0	learning	LS4	PICTURE_220.jpg	c	n/a
2819.381	6.820	6820.0	learning	LS4	PICTURE_703.jpg	c	n/a
2826.201	8.586	8586.0	learning	LS4	PICTURE_220.jpg	i	n/a
2834.787	7.001	7001.0	learning	LS4	PICTURE_695.jpg	i	n/a
2841.788	7.652	7652.0	learning	LS4	PICTURE_216.jpg	c	n/a
2849.440	6.861	6861.0	learning	LS4	PICTURE_703.jpg	i	n/a
2856.301	6.869	6869.0	learning	LS4	PICTURE_53.jpg	i	n/a
2863.170	7.037	7037.0	learning	LS4	PICTURE_695.jpg	c	n/a
2870.207	6.565	6565.0	learning	LS4	PICTURE_53.jpg	c	n/a
2876.772	8.010	8010.0	learning	LS4	PICTURE_216.jpg	i	n/a
