onset	duration	accuracy_binary	trial_type	learning_stage	stimulus	coherence
2204.473	8.330	1	learning	LS3	PICTURE_462.jpg	c
2212.803	6.645	1	learning	LS3	PICTURE_400.jpg	i
2219.448	7.837	1	learning	LS3	PICTURE_402.jpg	c
2227.285	6.898	1	learning	LS4	PICTURE_462.jpg	c
2234.183	6.978	1	learning	LS4	PICTURE_405.jpg	i
2241.161	7.378	1	learning	LS4	PICTURE_21.jpg	i
2248.539	7.132	1	learning	LS4	PICTURE_402.jpg	c
2255.671	9.452	1	learning	LS4	PICTURE_400.jpg	c
2265.123	9.212	1	learning	LS4	PICTURE_405.jpg	c
2274.335	16.003	1	learning	LS4	PICTURE_400.jpg	i
2290.338	10.325	1	learning	LS4	PICTURE_462.jpg	i
2300.663	8.007	1	learning	LS4	PICTURE_21.jpg	c
2308.670	8.720	1	learning	LS4	PICTURE_402.jpg	i
2317.390	9.100	1	control	LS1	PICTURE_430.jpg	c
2326.490	7.087	1	control	LS1	PICTURE_2.jpg	c
2333.577	10.672	1	control	LS1	PICTURE_718.jpg	i
2344.249	12.339	1	control	LS1	PICTURE_2.jpg	i
2356.588	14.652	1	control	LS1	PICTURE_286.jpg	c
2371.240	n/a	n/a	control	LS1	PICTURE_292.jpg	i
2396.240	9.841	1	control	LS1	PICTURE_718.jpg	c
2406.081	9.115	1	control	LS1	PICTURE_286.jpg	i
2415.196	8.389	1	control	LS1	PICTURE_430.jpg	i
2423.585	9.429	1	control	LS1	PICTURE_292.jpg	c
2433.014	9.129	1	control	LS2	PICTURE_292.jpg	i
2442.143	7.283	1	control	LS2	PICTURE_2.jpg	c
2449.426	10.563	1	control	LS2	PICTURE_430.jpg	i
2459.989	8.884	1	control	LS2	PICTURE_286.jpg	c
2468.873	7.364	1	control	LS2	PICTURE_430.jpg	c
2476.237	10.795	1	control	LS2	PICTURE_718.jpg	c
2487.032	7.357	1	control	LS2	PICTURE_2.jpg	i
2494.389	6.951	1	control	LS2	PICTURE_286.jpg	i
2501.340	6.872	1	control	LS2	PICTURE_718.jpg	i
2508.212	8.865	1	control	LS2	PICTURE_292.jpg	c
2517.077	7.099	1	control	LS3	PICTURE_98.jpg	i
2524.176	6.040	1	control	LS3	PICTURE_134.jpg	i
2530.216	10.092	1	control	LS3	PICTURE_733.jpg	c
2540.308	9.198	1	control	LS3	PICTURE_645.jpg	c
2549.506	10.065	1	control	LS3	PICTURE_134.jpg	c
2559.571	7.094	1	control	LS3	PICTURE_645.jpg	i
2566.665	9.247	1	control	LS3	PICTURE_731.jpg	c
2575.912	7.402	1	control	LS3	PICTURE_98.jpg	c
2583.314	9.234	1	control	LS3	PICTURE_731.jpg	i
2592.548	10.268	1	control	LS3	PICTURE_733.jpg	i
2602.816	8.042	1	control	LS4	PICTURE_645.jpg	i
2610.858	7.315	1	control	LS4	PICTURE_733.jpg	c
2618.173	7.875	1	control	LS4	PICTURE_134.jpg	i
2626.048	11.946	1	control	LS4	PICTURE_645.jpg	c
2637.994	6.749	1	control	LS4	PICTURE_98.jpg	c
2644.743	6.988	1	control	LS4	PICTURE_731.jpg	c
2651.731	7.708	1	control	LS4	PICTURE_733.jpg	i
2659.439	7.143	0	control	LS4	PICTURE_98.jpg	i
2666.582	10.422	1	control	LS4	PICTURE_134.jpg	c
2677.004	8.257	1	control	LS4	PICTURE_731.jpg	i
2685.261	13.875	1	learning	LS1	PICTURE_216.jpg	i
2699.136	16.008	0	learning	LS1	PICTURE_695.jpg	i
2715.144	14.469	0	learning	LS1	PICTURE_220.jpg	c
2729.613	9.891	1	learning	LS1	PICTURE_216.jpg	c
