onset	duration	accuracy	trial_type	learning_stage	stimulus	coherence	signal_detection_theory
1998.731	9.212	correct	learning	LS2	PICTURE_488.jpg	i	correct rejection
2007.943	10.656	correct	learning	LS2	PICTURE_480.jpg	c	hit
2018.599	17.851	incorrect	learning	LS2	PICTURE_508.jpg	i	false alarm
2036.450	8.268	correct	learning	LS2	PICTURE_95.jpg	c	hit
2044.718	8.754	correct	learning	LS2	PICTURE_488.jpg	c	hit
2053.472	7.673	correct	learning	LS3	PICTURE_508.jpg	c	hit
2061.145	6.872	correct	learning	LS3	PICTURE_15.jpg	c	hit
2068.017	7.029	correct	learning	LS3	PICTURE_488.jpg	i	correct rejection
2075.046	7.507	correct	learning	LS3	PICTURE_95.jpg	i	correct rejection
2082.553	8.462	correct	learning	LS3	PICTURE_480.jpg	i	correct rejection
2091.015	6.862	correct	learning	LS3	PICTURE_95.jpg	c	hit
2097.877	8.618	correct	learning	LS3	PICTURE_508.jpg	i	correct rejection
2106.495	7.656	correct	learning	LS3	PICTURE_15.jpg	i	correct rejection
2114.151	7.815	correct	learning	LS3	PICTURE_480.jpg	c	hit
2121.966	10.529	correct	learning	LS3	PICTURE_488.jpg	c	hit
2132.495	10.227	correct	learning	LS4	PICTURE_95.jpg	c	hit
2142.722	6.235	correct	learning	LS4	PICTURE_488.jpg	c	hit
2148.957	14.379	incorrect	learning	LS4	PICTURE_15.jpg	i	false alarm
2163.336	7.343	correct	learning	LS4	PICTURE_508.jpg	i	correct rejection
2170.679	7.183	correct	learning	LS4	PICTURE_488.jpg	i	correct rejection
2177.862	5.262	correct	learning	LS4	PICTURE_15.jpg	c	hit
2183.124	9.576	correct	learning	LS4	PICTURE_480.jpg	c	hit
2192.700	8.934	correct	learning	LS4	PICTURE_95.jpg	i	correct rejection
2201.634	7.969	correct	learning	LS4	PICTURE_508.jpg	c	hit
2209.603	6.368	correct	learning	LS4	PICTURE_480.jpg	i	correct rejection
2215.971	10.126	correct	control	LS1	PICTURE_549.jpg	c	hit
2226.097	6.441	correct	control	LS1	PICTURE_485.jpg	c	hit
2232.538	7.546	correct	control	LS1	PICTURE_418.jpg	i	correct rejection
2240.084	6.743	correct	control	LS1	PICTURE_498.jpg	c	hit
2246.827	8.178	correct	control	LS1	PICTURE_485.jpg	i	correct rejection
2255.005	10.251	correct	control	LS1	PICTURE_549.jpg	i	correct rejection
2265.256	7.851	correct	control	LS1	PICTURE_498.jpg	i	correct rejection
2273.107	8.640	correct	control	LS1	PICTURE_350.jpg	i	correct rejection
2281.747	7.995	correct	control	LS1	PICTURE_418.jpg	c	hit
2289.742	6.395	correct	control	LS1	PICTURE_350.jpg	c	hit
2296.137	7.366	correct	control	LS2	PICTURE_498.jpg	c	hit
2303.503	8.480	correct	control	LS2	PICTURE_549.jpg	i	correct rejection
2311.983	6.718	correct	control	LS2	PICTURE_485.jpg	i	correct rejection
2318.701	7.352	correct	control	LS2	PICTURE_418.jpg	i	correct rejection
2326.053	6.710	correct	control	LS2	PICTURE_549.jpg	c	hit
2332.763	7.507	correct	control	LS2	PICTURE_350.jpg	i	correct rejection
2340.270	11.814	correct	control	LS2	PICTURE_485.jpg	c	hit
2352.084	10.213	correct	control	LS2	PICTURE_498.jpg	i	correct rejection
2362.297	7.333	correct	control	LS2	PICTURE_418.jpg	c	hit
2369.630	8.445	correct	control	LS2	PICTURE_350.jpg	c	hit
2378.075	10.692	correct	control	LS3	PICTURE_663.jpg	i	correct rejection
2388.767	7.964	correct	control	LS3	PICTURE_552.jpg	i	correct rejection
2396.731	8.758	correct	control	LS3	PICTURE_476.jpg	c	hit
2405.489	9.227	correct	control	LS3	PICTURE_314.jpg	i	correct rejection
2414.716	8.105	correct	control	LS3	PICTURE_388.jpg	c	hit
2422.821	7.622	correct	control	LS3	PICTURE_314.jpg	c	hit
2430.443	10.970	correct	control	LS3	PICTURE_552.jpg	c	hit
2441.413	9.845	correct	control	LS3	PICTURE_388.jpg	i	correct rejection
2451.258	9.360	correct	control	LS3	PICTURE_476.jpg	i	correct rejection
2460.618	7.756	correct	control	LS3	PICTURE_663.jpg	c	hit
2468.374	9.361	correct	control	LS4	PICTURE_663.jpg	i	correct rejection
2477.735	6.000	correct	control	LS4	PICTURE_552.jpg	c	hit
2483.735	6.795	correct	control	LS4	PICTURE_476.jpg	c	hit
2490.530	6.634	correct	control	LS4	PICTURE_663.jpg	c	hit
2497.164	9.183	correct	control	LS4	PICTURE_314.jpg	i	correct rejection
2506.347	7.736	correct	control	LS4	PICTURE_388.jpg	i	correct rejection
2514.083	8.524	correct	control	LS4	PICTURE_476.jpg	i	correct rejection
2522.607	8.038	correct	control	LS4	PICTURE_552.jpg	i	correct rejection
2530.645	6.593	correct	control	LS4	PICTURE_388.jpg	c	hit
2537.238	7.705	correct	control	LS4	PICTURE_314.jpg	c	hit
2544.943	19.530	correct	learning	LS1	PICTURE_599.jpg	i	correct rejection
2564.473	19.352	incorrect	learning	LS1	PICTURE_610.jpg	c	miss
2583.825	14.551	incorrect	learning	LS1	PICTURE_741.jpg	i	false alarm
2598.376	9.586	correct	learning	LS1	PICTURE_43.jpg	c	hit
2607.962	8.934	correct	learning	LS1	PICTURE_599.jpg	c	hit
2616.896	10.682	incorrect	learning	LS1	PICTURE_247.jpg	i	false alarm
2627.578	8.599	correct	learning	LS1	PICTURE_610.jpg	i	correct rejection
2636.177	8.592	correct	learning	LS1	PICTURE_43.jpg	i	correct rejection
2644.769	7.628	correct	learning	LS1	PICTURE_741.jpg	c	hit
2652.397	10.496	correct	learning	LS1	PICTURE_247.jpg	c	hit
2662.893	7.784	incorrect	learning	LS2	PICTURE_741.jpg	i	false alarm
2670.677	7.135	correct	learning	LS2	PICTURE_43.jpg	c	hit
2677.812	7.769	correct	learning	LS2	PICTURE_599.jpg	i	correct rejection
2685.581	7.440	correct	learning	LS2	PICTURE_247.jpg	c	hit
2693.021	8.231	correct	learning	LS2	PICTURE_43.jpg	i	correct rejection
2701.252	8.384	correct	learning	LS2	PICTURE_247.jpg	i	correct rejection
2709.636	9.172	correct	learning	LS2	PICTURE_741.jpg	c	hit
2718.808	8.364	correct	learning	LS2	PICTURE_610.jpg	c	hit
2727.172	6.438	correct	learning	LS2	PICTURE_599.jpg	c	hit
2733.610	8.825	correct	learning	LS2	PICTURE_610.jpg	i	correct rejection
2742.435	7.069	correct	learning	LS3	PICTURE_610.jpg	c	hit
2749.504	6.580	correct	learning	LS3	PICTURE_247.jpg	c	hit
2756.084	7.043	correct	learning	LS3	PICTURE_599.jpg	i	correct rejection
2763.127	9.265	correct	learning	LS3	PICTURE_741.jpg	i	correct rejection
2772.392	7.340	correct	learning	LS3	PICTURE_610.jpg	i	correct rejection
2779.732	6.366	correct	learning	LS3	PICTURE_741.jpg	c	hit
2786.098	7.632	correct	learning	LS3	PICTURE_247.jpg	i	correct rejection
2793.730	7.774	correct	learning	LS3	PICTURE_43.jpg	c	hit
2801.504	8.558	correct	learning	LS3	PICTURE_599.jpg	c	hit
2810.062	8.545	correct	learning	LS3	PICTURE_43.jpg	i	correct rejection
2818.607	7.898	correct	learning	LS4	PICTURE_247.jpg	c	hit
2826.505	7.407	correct	learning	LS4	PICTURE_599.jpg	c	hit
2833.912	8.668	correct	learning	LS4	PICTURE_610.jpg	i	correct rejection
2842.580	8.020	correct	learning	LS4	PICTURE_43.jpg	i	correct rejection
2850.600	8.325	correct	learning	LS4	PICTURE_247.jpg	i	correct rejection
2858.925	7.508	correct	learning	LS4	PICTURE_610.jpg	c	hit
2866.433	8.604	correct	learning	LS4	PICTURE_599.jpg	i	correct rejection
2875.037	7.315	correct	learning	LS4	PICTURE_741.jpg	c	hit
2882.352	7.000	correct	learning	LS4	PICTURE_43.jpg	c	hit
2889.352	7.806	correct	learning	LS4	PICTURE_741.jpg	i	correct rejection
